Model,Seq Len,Accuracy
GDN,256,99.94333386421204
GDN,512,99.80929493904114
GDN,1024,98.23651313781738
GDN,2048,80.73710203170776
KLA,256,99.83705878257751
KLA,512,99.49862957000732
KLA,1024,97.22483158111572
KLA,2048,75.956791639328
Mamba2,256,3.2001961022615433
Mamba2,512,17.92123317718506
Mamba2,1024,88.22346329689026
Mamba2,2048,0.8589643053710461
