Model,Model Raw,Step,Accuracy,Seed,Path
GDN,GatedDeltaNet_Palindrome,1500,0.7924242876470089,42,./out/palindrome/GatedDeltaNet_Palindrome_seq1024_v128_h2_seed42_20000steps/results.json
GDN,GatedDeltaNet_Palindrome,2000,0.7882697507739067,42,./out/palindrome/GatedDeltaNet_Palindrome_seq1024_v128_h2_seed42_20000steps/results.json
GDN,GatedDeltaNet_Palindrome,2500,1.5827467665076256,42,./out/palindrome/GatedDeltaNet_Palindrome_seq1024_v128_h2_seed42_20000steps/results.json
GDN,GatedDeltaNet_Palindrome,3000,42.13758409023285,42,./out/palindrome/GatedDeltaNet_Palindrome_seq1024_v128_h2_seed42_20000steps/results.json
GDN,GatedDeltaNet_Palindrome,3500,77.1919846534729,42,./out/palindrome/GatedDeltaNet_Palindrome_seq1024_v128_h2_seed42_20000steps/results.json
GDN,GatedDeltaNet_Palindrome,4000,87.62907981872559,42,./out/palindrome/GatedDeltaNet_Palindrome_seq1024_v128_h2_seed42_20000steps/results.json
GDN,GatedDeltaNet_Palindrome,4500,90.17345905303955,42,./out/palindrome/GatedDeltaNet_Palindrome_seq1024_v128_h2_seed42_20000steps/results.json
GDN,GatedDeltaNet_Palindrome,5000,91.73890352249146,42,./out/palindrome/GatedDeltaNet_Palindrome_seq1024_v128_h2_seed42_20000steps/results.json
GDN,GatedDeltaNet_Palindrome,5500,92.91558861732483,42,./out/palindrome/GatedDeltaNet_Palindrome_seq1024_v128_h2_seed42_20000steps/results.json
GDN,GatedDeltaNet_Palindrome,6000,93.59701871871948,42,./out/palindrome/GatedDeltaNet_Palindrome_seq1024_v128_h2_seed42_20000steps/results.json
GDN,GatedDeltaNet_Palindrome,6500,94.2125141620636,42,./out/palindrome/GatedDeltaNet_Palindrome_seq1024_v128_h2_seed42_20000steps/results.json
GDN,GatedDeltaNet_Palindrome,7000,94.71309781074524,42,./out/palindrome/GatedDeltaNet_Palindrome_seq1024_v128_h2_seed42_20000steps/results.json
GDN,GatedDeltaNet_Palindrome,7500,95.09467482566833,42,./out/palindrome/GatedDeltaNet_Palindrome_seq1024_v128_h2_seed42_20000steps/results.json
GDN,GatedDeltaNet_Palindrome,8000,95.25943398475647,42,./out/palindrome/GatedDeltaNet_Palindrome_seq1024_v128_h2_seed42_20000steps/results.json
GDN,GatedDeltaNet_Palindrome,8500,95.48841714859009,42,./out/palindrome/GatedDeltaNet_Palindrome_seq1024_v128_h2_seed42_20000steps/results.json
GDN,GatedDeltaNet_Palindrome,9000,95.6011712551117,42,./out/palindrome/GatedDeltaNet_Palindrome_seq1024_v128_h2_seed42_20000steps/results.json
GDN,GatedDeltaNet_Palindrome,9500,95.84623575210571,42,./out/palindrome/GatedDeltaNet_Palindrome_seq1024_v128_h2_seed42_20000steps/results.json
GDN,GatedDeltaNet_Palindrome,10000,96.01969718933105,42,./out/palindrome/GatedDeltaNet_Palindrome_seq1024_v128_h2_seed42_20000steps/results.json
