variant,mqar_test_acc,mqar_val_acc_extrap,mqar_runs
a1_k_norm_only,97.80539870262146,77.6827335357666,1
a1_kla,98.38960766792297,73.84058237075806,1
a1_learned_norm,97.77491688728333,74.45967197418213,1
a1_no_norm,0.03217394114471972,0.006301197572611272,1
a1_seq_only,97.19578623771667,85.01890301704407,1
a2_inv_log_t,97.56324887275696,84.67549085617065,1
a2_inv_sqrt_t,99.02462363243103,50.23787021636963,1
a2_inv_t,97.92054891586304,20.469439029693604,1
a2_no_seq_factor,98.38960766792297,73.84058237075806,1
a3_gdn_dual_gate,98.72151017189026,66.80529117584229,1
a3_gla_independent_gate,0.02540048153605312,0.02520479029044509,1
a3_kla_single_gate,0.011853557953145355,0.031505984952673316,1
a4_expand_v16,99.1753339767456,92.63390302658081,1
a4_expand_v2,98.0864942073822,71.99432849884033,1
a4_expand_v4,98.8772988319397,91.33743047714233,1
a4_expand_v8,95.31106948852539,95.37334442138672,1
