Model,Baseline Length,Baseline PPL,Slope ln(PPL_ratio) per doubling,PPL Ratio per Doubling,PPL Increase (%) per Doubling,Max Length,PPL@Max Length,PPL Ratio at Max Length,Num Length Points
Mamba2,4096,57.7417064999652,-0.009996652603149414,0.9900531478444102,-0.9946852155589769,65536,54.467808299240616,0.943300979496916,5
DeltaNet,4096,44.39119900794212,-0.00594539642333985,0.9940722424719215,-0.5927757528078503,65536,42.82794047124904,0.9647844939621164,5
Longhorn,4096,49.56730872645672,-0.0041408538818359375,0.9958677076321966,-0.4132292367803436,65536,47.670040176926705,0.96172338990603,5
GDN,4096,45.97921161902612,-0.0023171424865722308,0.9976855400157659,-0.2314459984234074,65536,44.48574837527988,0.9675187287654963,5
KLA,4096,41.27670471113146,-0.000323891639709481,0.9996761608075251,-0.03238391924749173,65536,40.43857032159499,0.9796947359194,5
GLA,4096,36.5426817293667,0.0008760690689086969,1.0008764529295033,0.08764529295033352,65536,35.94584883643523,0.9836675124898719,5
