Model,Model Raw,Context Length,Loss,PPL,Seed,Path,Num Batches,Config Name,Checkpoint
DeltaNet,DeltaNet,16384,3.8465890884399414,46.83304710452874,1337,/home/huiwei/jiaxuanzou/linear_attn/GatedDeltaNet/out/long_context_kimi6_fast/DeltaNet/results.json,3,DeltaNet_0.4B,/home/huiwei/jiaxuanzou/linear_attn/save_dir/outputs/tsz512x4k_512x4k_1B_DeltaNet_0.4B/final-model-ckpt.pth
DeltaNet,DeltaNet,32768,3.7899627685546875,44.254752576910064,1337,/home/huiwei/jiaxuanzou/linear_attn/GatedDeltaNet/out/long_context_kimi6_fast/DeltaNet/results.json,3,DeltaNet_0.4B,/home/huiwei/jiaxuanzou/linear_attn/save_dir/outputs/tsz512x4k_512x4k_1B_DeltaNet_0.4B/final-model-ckpt.pth
DeltaNet,DeltaNet,65536,3.757190704345703,42.82794047124904,1337,/home/huiwei/jiaxuanzou/linear_attn/GatedDeltaNet/out/long_context_kimi6_fast/DeltaNet/results.json,3,DeltaNet_0.4B,/home/huiwei/jiaxuanzou/linear_attn/save_dir/outputs/tsz512x4k_512x4k_1B_DeltaNet_0.4B/final-model-ckpt.pth
KLA,KLA,1024,3.7297005653381348,41.66662986268056,1337,/home/huiwei/jiaxuanzou/linear_attn/GatedDeltaNet/out/long_context_kimi6_fast/KLA/results.json,3,RelaxedKaczmarzQNorm_0.4B,/home/huiwei/jiaxuanzou/linear_attn/save_dir/outputs/tsz512x4k_512x4k_1B_RelaxedKaczmarzQNorm_0.4B/final-model-ckpt.pth
KLA,KLA,2048,3.895606756210327,49.18588815364391,1337,/home/huiwei/jiaxuanzou/linear_attn/GatedDeltaNet/out/long_context_kimi6_fast/KLA/results.json,3,RelaxedKaczmarzQNorm_0.4B,/home/huiwei/jiaxuanzou/linear_attn/save_dir/outputs/tsz512x4k_512x4k_1B_RelaxedKaczmarzQNorm_0.4B/final-model-ckpt.pth
KLA,KLA,4096,3.7202982902526855,41.27670471113146,1337,/home/huiwei/jiaxuanzou/linear_attn/GatedDeltaNet/out/long_context_kimi6_fast/KLA/results.json,3,RelaxedKaczmarzQNorm_0.4B,/home/huiwei/jiaxuanzou/linear_attn/save_dir/outputs/tsz512x4k_512x4k_1B_RelaxedKaczmarzQNorm_0.4B/final-model-ckpt.pth
KLA,KLA,8192,3.7118728160858154,40.930389883907885,1337,/home/huiwei/jiaxuanzou/linear_attn/GatedDeltaNet/out/long_context_kimi6_fast/KLA/results.json,3,RelaxedKaczmarzQNorm_0.4B,/home/huiwei/jiaxuanzou/linear_attn/save_dir/outputs/tsz512x4k_512x4k_1B_RelaxedKaczmarzQNorm_0.4B/final-model-ckpt.pth
KLA,KLA,16384,3.805739164352417,44.95846953221314,1337,/home/huiwei/jiaxuanzou/linear_attn/GatedDeltaNet/out/long_context_kimi6_fast/KLA/results.json,3,RelaxedKaczmarzQNorm_0.4B,/home/huiwei/jiaxuanzou/linear_attn/save_dir/outputs/tsz512x4k_512x4k_1B_RelaxedKaczmarzQNorm_0.4B/final-model-ckpt.pth
KLA,KLA,32768,3.749662399291992,42.5067292755556,1337,/home/huiwei/jiaxuanzou/linear_attn/GatedDeltaNet/out/long_context_kimi6_fast/KLA/results.json,3,RelaxedKaczmarzQNorm_0.4B,/home/huiwei/jiaxuanzou/linear_attn/save_dir/outputs/tsz512x4k_512x4k_1B_RelaxedKaczmarzQNorm_0.4B/final-model-ckpt.pth
KLA,KLA,65536,3.69978404045105,40.43857032159499,1337,/home/huiwei/jiaxuanzou/linear_attn/GatedDeltaNet/out/long_context_kimi6_fast/KLA/results.json,3,RelaxedKaczmarzQNorm_0.4B,/home/huiwei/jiaxuanzou/linear_attn/save_dir/outputs/tsz512x4k_512x4k_1B_RelaxedKaczmarzQNorm_0.4B/final-model-ckpt.pth
Longhorn,Longhorn,1024,3.890465497970581,48.93365974218026,1337,/home/huiwei/jiaxuanzou/linear_attn/GatedDeltaNet/out/long_context_kimi6_fast/Longhorn/results.json,3,Longhorn_0.4B,/home/huiwei/jiaxuanzou/linear_attn/save_dir/outputs/tsz512x4k_512x4k_1B_Longhorn_0.4B/final-model-ckpt.pth
Longhorn,Longhorn,2048,4.041464805603027,56.90964334546437,1337,/home/huiwei/jiaxuanzou/linear_attn/GatedDeltaNet/out/long_context_kimi6_fast/Longhorn/results.json,3,Longhorn_0.4B,/home/huiwei/jiaxuanzou/linear_attn/save_dir/outputs/tsz512x4k_512x4k_1B_Longhorn_0.4B/final-model-ckpt.pth
Longhorn,Longhorn,4096,3.9033315181732178,49.56730872645672,1337,/home/huiwei/jiaxuanzou/linear_attn/GatedDeltaNet/out/long_context_kimi6_fast/Longhorn/results.json,3,Longhorn_0.4B,/home/huiwei/jiaxuanzou/linear_attn/save_dir/outputs/tsz512x4k_512x4k_1B_Longhorn_0.4B/final-model-ckpt.pth
Longhorn,Longhorn,8192,3.873617649078369,48.11613890852037,1337,/home/huiwei/jiaxuanzou/linear_attn/GatedDeltaNet/out/long_context_kimi6_fast/Longhorn/results.json,3,Longhorn_0.4B,/home/huiwei/jiaxuanzou/linear_attn/save_dir/outputs/tsz512x4k_512x4k_1B_Longhorn_0.4B/final-model-ckpt.pth
Longhorn,Longhorn,16384,3.967160701751709,52.83430532252207,1337,/home/huiwei/jiaxuanzou/linear_attn/GatedDeltaNet/out/long_context_kimi6_fast/Longhorn/results.json,3,Longhorn_0.4B,/home/huiwei/jiaxuanzou/linear_attn/save_dir/outputs/tsz512x4k_512x4k_1B_Longhorn_0.4B/final-model-ckpt.pth
Longhorn,Longhorn,32768,3.9102659225463867,49.91222299423228,1337,/home/huiwei/jiaxuanzou/linear_attn/GatedDeltaNet/out/long_context_kimi6_fast/Longhorn/results.json,3,Longhorn_0.4B,/home/huiwei/jiaxuanzou/linear_attn/save_dir/outputs/tsz512x4k_512x4k_1B_Longhorn_0.4B/final-model-ckpt.pth
Longhorn,Longhorn,65536,3.8643031120300293,47.670040176926705,1337,/home/huiwei/jiaxuanzou/linear_attn/GatedDeltaNet/out/long_context_kimi6_fast/Longhorn/results.json,3,Longhorn_0.4B,/home/huiwei/jiaxuanzou/linear_attn/save_dir/outputs/tsz512x4k_512x4k_1B_Longhorn_0.4B/final-model-ckpt.pth
Mamba2,Mamba2,1024,4.073491096496582,58.761747853412594,1337,/home/huiwei/jiaxuanzou/linear_attn/GatedDeltaNet/out/long_context_kimi6_fast/Mamba2/results.json,3,Mamba2_0.4B,/home/huiwei/jiaxuanzou/linear_attn/save_dir/outputs/tsz512x4k_512x4k_1B_Mamba2_0.4B/final-model-ckpt.pth
Mamba2,Mamba2,2048,4.178949356079102,65.29721304219996,1337,/home/huiwei/jiaxuanzou/linear_attn/GatedDeltaNet/out/long_context_kimi6_fast/Mamba2/results.json,3,Mamba2_0.4B,/home/huiwei/jiaxuanzou/linear_attn/save_dir/outputs/tsz512x4k_512x4k_1B_Mamba2_0.4B/final-model-ckpt.pth
Mamba2,Mamba2,4096,4.0559797286987305,57.7417064999652,1337,/home/huiwei/jiaxuanzou/linear_attn/GatedDeltaNet/out/long_context_kimi6_fast/Mamba2/results.json,3,Mamba2_0.4B,/home/huiwei/jiaxuanzou/linear_attn/save_dir/outputs/tsz512x4k_512x4k_1B_Mamba2_0.4B/final-model-ckpt.pth
Mamba2,Mamba2,8192,4.015623092651367,55.45784001170214,1337,/home/huiwei/jiaxuanzou/linear_attn/GatedDeltaNet/out/long_context_kimi6_fast/Mamba2/results.json,3,Mamba2_0.4B,/home/huiwei/jiaxuanzou/linear_attn/save_dir/outputs/tsz512x4k_512x4k_1B_Mamba2_0.4B/final-model-ckpt.pth
Mamba2,Mamba2,16384,4.089167594909668,59.690184605286014,1337,/home/huiwei/jiaxuanzou/linear_attn/GatedDeltaNet/out/long_context_kimi6_fast/Mamba2/results.json,3,Mamba2_0.4B,/home/huiwei/jiaxuanzou/linear_attn/save_dir/outputs/tsz512x4k_512x4k_1B_Mamba2_0.4B/final-model-ckpt.pth
Mamba2,Mamba2,32768,4.03239631652832,56.39589186219517,1337,/home/huiwei/jiaxuanzou/linear_attn/GatedDeltaNet/out/long_context_kimi6_fast/Mamba2/results.json,3,Mamba2_0.4B,/home/huiwei/jiaxuanzou/linear_attn/save_dir/outputs/tsz512x4k_512x4k_1B_Mamba2_0.4B/final-model-ckpt.pth
Mamba2,Mamba2,65536,3.997609853744507,54.467808299240616,1337,/home/huiwei/jiaxuanzou/linear_attn/GatedDeltaNet/out/long_context_kimi6_fast/Mamba2/results.json,3,Mamba2_0.4B,/home/huiwei/jiaxuanzou/linear_attn/save_dir/outputs/tsz512x4k_512x4k_1B_Mamba2_0.4B/final-model-ckpt.pth
