Model,Context Length,PPL,Baseline Length,Baseline PPL,PPL Ratio vs Baseline,PPL Increase (%) vs Baseline,Num Runs
DeltaNet,1024,45.18270962620647,4096,44.39119900794212,1.0178303500683263,1.783035006832634,1
DeltaNet,2048,49.039006554119666,4096,44.39119900794212,1.10470110404871,10.470110404871003,1
DeltaNet,4096,44.39119900794212,4096,44.39119900794212,1.0,0.0,1
DeltaNet,8192,43.71606623717693,4096,44.39119900794212,0.9847912922864643,-1.5208707713535663,1
DeltaNet,16384,46.83304710452874,4096,44.39119900794212,1.0550074823649107,5.500748236491071,1
DeltaNet,32768,44.254752576910064,4096,44.39119900794212,0.9969262729081131,-0.3073727091886913,1
DeltaNet,65536,42.82794047124904,4096,44.39119900794212,0.9647844939621164,-3.5215506037883593,1
GDN,1024,45.696119331887054,4096,45.97921161902612,0.9938430373820956,-0.6156962617904438,1
GDN,2048,54.064144032343165,4096,45.97921161902612,1.175838865622731,17.5838865622731,1
GDN,4096,45.97921161902612,4096,45.97921161902612,1.0,0.0,1
GDN,8192,44.833874103613404,4096,45.97921161902612,0.9750901010460393,-2.4909898953960674,1
GDN,16384,49.46261947692199,4096,45.97921161902612,1.0757604955639222,7.576049556392217,1
GDN,32768,46.79767583114607,4096,45.97921161902612,1.0178007447996624,1.7800744799662427,1
GDN,65536,44.48574837527988,4096,45.97921161902612,0.9675187287654963,-3.248127123450373,1
GLA,1024,35.534877499560615,4096,36.5426817293667,0.9724211748532898,-2.7578825146710173,1
GLA,2048,41.12955728375111,4096,36.5426817293667,1.1255210438126733,12.552104381267327,1
GLA,4096,36.5426817293667,4096,36.5426817293667,1.0,0.0,1
GLA,8192,36.31156853983804,4096,36.5426817293667,0.9936755273945063,-0.6324472605493736,1
GLA,16384,40.17487638239521,4096,36.5426817293667,1.0993959523805168,9.93959523805168,1
GLA,32768,37.85759951148402,4096,36.5426817293667,1.035983067467668,3.5983067467667995,1
GLA,65536,35.94584883643523,4096,36.5426817293667,0.9836675124898719,-1.6332487510128058,1
KLA,1024,41.66662986268056,4096,41.27670471113146,1.009446615331285,0.9446615331285102,1
KLA,2048,49.18588815364391,4096,41.27670471113146,1.1916137321974618,19.16137321974618,1
KLA,4096,41.27670471113146,4096,41.27670471113146,1.0,0.0,1
KLA,8192,40.930389883907885,4096,41.27670471113146,0.9916099206647623,-0.8390079335237721,1
KLA,16384,44.95846953221314,4096,41.27670471113146,1.0891971596775454,8.919715967754538,1
KLA,32768,42.5067292755556,4096,41.27670471113146,1.0297994855217314,2.9799485521731395,1
KLA,65536,40.43857032159499,4096,41.27670471113146,0.9796947359194,-2.030526408059996,1
Longhorn,1024,48.93365974218026,4096,49.56730872645672,0.987216393212443,-1.2783606787556967,1
Longhorn,2048,56.90964334546437,4096,49.56730872645672,1.1481285711824143,14.812857118241428,1
Longhorn,4096,49.56730872645672,4096,49.56730872645672,1.0,0.0,1
Longhorn,8192,48.11613890852037,4096,49.56730872645672,0.9707232477368337,-2.9276752263166284,1
Longhorn,16384,52.83430532252207,4096,49.56730872645672,1.0659103082254207,6.5910308225420655,1
Longhorn,32768,49.91222299423228,4096,49.56730872645672,1.0069585030262387,0.6958503026238683,1
Longhorn,65536,47.670040176926705,4096,49.56730872645672,0.96172338990603,-3.8276610093969987,1
Mamba2,1024,58.761747853412594,4096,57.7417064999652,1.017665590701723,1.766559070172291,1
Mamba2,2048,65.29721304219996,4096,57.7417064999652,1.1308500735467406,13.085007354674062,1
Mamba2,4096,57.7417064999652,4096,57.7417064999652,1.0,0.0,1
Mamba2,8192,55.45784001170214,4096,57.7417064999652,0.9604468480981865,-3.955315190181352,1
Mamba2,16384,59.690184605286014,4096,57.7417064999652,1.0337447267049855,3.3744726704985517,1
Mamba2,32768,56.39589186219517,4096,57.7417064999652,0.9766925032295186,-2.3307496770481384,1
Mamba2,65536,54.467808299240616,4096,57.7417064999652,0.943300979496916,-5.669902050308395,1
