Model,Context Length,Loss,PPL,Mean Num Batches,Num Runs
DeltaNet,1024,3.8107144832611084,45.18270962620647,3.0,1
DeltaNet,2048,3.892616033554077,49.039006554119666,3.0,1
DeltaNet,4096,3.793041229248047,44.39119900794212,3.0,1
DeltaNet,8192,3.7777156829833984,43.71606623717693,3.0,1
DeltaNet,16384,3.8465890884399414,46.83304710452874,3.0,1
DeltaNet,32768,3.7899627685546875,44.254752576910064,3.0,1
DeltaNet,65536,3.757190704345703,42.82794047124904,3.0,1
GDN,1024,3.8220133781433105,45.696119331887054,3.0,1
GDN,2048,3.990171194076538,54.064144032343165,3.0,1
GDN,4096,3.8281893730163574,45.97921161902612,3.0,1
GDN,8192,3.802963972091675,44.833874103613404,3.0,1
GDN,16384,3.901217222213745,49.46261947692199,3.0,1
GDN,32768,3.8458335399627686,46.79767583114607,3.0,1
GDN,65536,3.795168876647949,44.48574837527988,3.0,1
GLA,1024,3.570514678955078,35.534877499560615,3.0,1
GLA,2048,3.7167270183563232,41.12955728375111,3.0,1
GLA,4096,3.5984809398651123,36.5426817293667,3.0,1
GLA,8192,3.5921363830566406,36.31156853983804,3.0,1
GLA,16384,3.693241834640503,40.17487638239521,3.0,1
GLA,32768,3.633831739425659,37.85759951148402,3.0,1
GLA,65536,3.5820136070251465,35.94584883643523,3.0,1
KLA,1024,3.7297005653381348,41.66662986268056,3.0,1
KLA,2048,3.895606756210327,49.18588815364391,3.0,1
KLA,4096,3.7202982902526855,41.27670471113146,3.0,1
KLA,8192,3.7118728160858154,40.930389883907885,3.0,1
KLA,16384,3.805739164352417,44.95846953221314,3.0,1
KLA,32768,3.749662399291992,42.5067292755556,3.0,1
KLA,65536,3.69978404045105,40.43857032159499,3.0,1
Longhorn,1024,3.890465497970581,48.93365974218026,3.0,1
Longhorn,2048,4.041464805603027,56.90964334546437,3.0,1
Longhorn,4096,3.9033315181732178,49.56730872645672,3.0,1
Longhorn,8192,3.873617649078369,48.11613890852037,3.0,1
Longhorn,16384,3.967160701751709,52.83430532252207,3.0,1
Longhorn,32768,3.9102659225463867,49.91222299423228,3.0,1
Longhorn,65536,3.8643031120300293,47.670040176926705,3.0,1
Mamba2,1024,4.073491096496582,58.761747853412594,3.0,1
Mamba2,2048,4.178949356079102,65.29721304219996,3.0,1
Mamba2,4096,4.0559797286987305,57.7417064999652,3.0,1
Mamba2,8192,4.015623092651367,55.45784001170214,3.0,1
Mamba2,16384,4.089167594909668,59.690184605286014,3.0,1
Mamba2,32768,4.03239631652832,56.39589186219517,3.0,1
Mamba2,65536,3.997609853744507,54.467808299240616,3.0,1
