Model,Baseline Length,Baseline PPL,Slope ln(PPL_ratio) per doubling,PPL Ratio per Doubling,PPL Increase (%) per Doubling,Max Length,PPL@Max Length,PPL Ratio at Max Length,Num Length Points
Mamba2,4096,52.22252703350234,0.01788945198059081,1.0180504267105048,1.805042671050483,65536,56.666936727717896,1.085105220805656,5
GDN,4096,43.807934702750494,0.01845061779022217,1.0186218821280801,1.8621882128080136,65536,47.54437949184782,1.0852915074506522,5
KLA,4096,39.971811219114706,0.019257497787475562,1.019444119428339,1.9444119428339013,65536,43.576260990160854,1.0901747922126301,5
