Model,Seq Len,Accuracy
GDN,256,99.92825388908386
GDN,512,99.73104000091553
GDN,1024,98.93745183944702
GDN,2048,95.6378698348999
KLA,256,99.96947050094604
KLA,512,99.84598755836487
KLA,1024,99.24885630607605
KLA,2048,96.94026708602905
Mamba2,256,99.98168349266052
Mamba2,512,99.93689060211182
Mamba2,1024,99.54324960708618
Mamba2,2048,93.82480382919312
